Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Avg_Delivery,Ghost_Risk
fjxy107785424,20,4.1,17.410371,78.437225,17.430371,78.457225,2022-03-01,09:35:00,09:45:00,Windy,Low ,motorcycle ,Other,80,Skincare,124.90564484784746,Medium Risk
utyz308260725,25,4.0,22.761593,75.886362,22.871593,75.996362,2022-03-16,21:50:00,21:55:00,Stormy,Jam ,motorcycle ,Urban ,38,Grocery,124.90564484784746,Medium Risk
vtjg042124168,32,3.5,13.049645,80.242268,13.119645,80.312268,2022-04-02,18:00:00,18:05:00,Sandstorms,Medium ,scooter ,Urban ,33,Grocery,124.90564484784746,Medium Risk
xige084493792,15,1.0,-26.891191,75.802083,26.981191,75.892083,2022-03-12,NaN ,17:20:00,Unknown,NaN ,motorcycle ,Urban ,75,Home,124.90564484784746,Medium Risk
zdic040789011,30,4.3,12.981615,80.231598,12.991615,80.241598,2022-03-15,09:40:00,09:45:00,Sandstorms,Low ,motorcycle ,Metropolitian ,27,Grocery,124.90564484784746,Medium Risk
ptwr050069720,39,4.4,17.429585,78.392621,17.479585,78.442621,2022-04-01,17:40:00,17:55:00,Sandstorms,Medium ,scooter ,Metropolitian ,34,Grocery,124.90564484784746,Medium Risk
psza203851411,36,4.0,11.022298,76.998349,11.132298,77.108349,2022-04-04,18:40:00,18:45:00,Stormy,Medium ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
qmkt393995790,32,4.2,13.02978,80.208812,13.04978,80.228812,2022-03-01,08:15:00,08:20:00,Windy,Low ,motorcycle ,Metropolitian ,24,Grocery,124.90564484784746,Medium Risk
sqqd135065622,24,3.5,23.374989,85.335486,23.404989,85.365486,2022-04-05,19:55:00,20:05:00,Sunny,Jam ,motorcycle ,Metropolitian ,51,Grocery,124.90564484784746,Medium Risk
xxxl426196629,23,4.1,13.044694,80.26147,13.064694,80.28147,2022-04-01,09:45:00,10:00:00,Sandstorms,Low ,motorcycle ,Metropolitian ,22,Grocery,124.90564484784746,Medium Risk
riyg586632668,34,4.3,19.176269,72.836721,19.226269,72.886721,2022-03-01,17:40:00,17:55:00,Sandstorms,Medium ,scooter ,Metropolitian ,31,Grocery,124.90564484784746,Medium Risk
vtjf792558599,22,4.0,0.0,0.0,0.05,0.05,2022-03-15,23:50:00,00:05:00,Stormy,Low ,motorcycle ,Metropolitian ,75,Apparel,124.90564484784746,Medium Risk
reoj464426945,24,4.4,12.325461,76.632278,12.345461,76.652278,2022-03-15,10:15:00,10:25:00,Windy,Low ,motorcycle ,Metropolitian ,26,Grocery,124.90564484784746,Medium Risk
qdgo203196303,27,4.3,30.332735,78.054222,30.392735,78.114222,2022-02-17,22:50:00,22:55:00,Stormy,Low ,motorcycle ,Urban ,80,Jewelry,124.90564484784746,Medium Risk
yest055183732,27,4.2,18.546258,73.904337,18.616258,73.974337,2022-03-25,17:25:00,17:30:00,Fog,Medium ,scooter ,Metropolitian ,34,Grocery,124.90564484784746,Medium Risk
xymu400218834,30,4.4,22.311358,73.164798,22.321358,73.174798,2022-03-13,08:35:00,08:40:00,Stormy,Low ,motorcycle ,Metropolitian ,28,Grocery,124.90564484784746,Medium Risk
cpff156483028,38,4.2,25.451646,81.832796,25.541646,81.922796,2022-02-18,20:20:00,20:25:00,Sunny,Jam ,motorcycle ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
rxpl933824163,31,4.1,22.32,73.17,22.41,73.26,2022-03-10,18:10:00,18:15:00,Cloudy,Medium ,scooter ,Metropolitian ,40,Grocery,124.90564484784746,Medium Risk
mymp837328201,35,3.5,0.0,0.0,0.09,0.09,2022-03-06,22:45:00,22:50:00,Cloudy,Low ,scooter ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
cjjl456791050,38,4.4,12.321214,76.621094,12.431214,76.731094,2022-04-04,21:30:00,21:40:00,Sunny,Jam ,scooter ,Metropolitian ,32,Grocery,124.90564484784746,Medium Risk
kgbq368364184,35,4.0,11.025083,77.015393,11.155083,77.145393,2022-03-31,23:25:00,23:30:00,Fog,Low ,motorcycle ,Urban ,43,Grocery,124.90564484784746,Medium Risk
otaq294119968,27,4.0,12.334022,76.618203,12.354022,76.638203,2022-03-30,11:00:00,11:05:00,Sandstorms,Low ,motorcycle ,Metropolitian ,80,Clothing,124.90564484784746,Medium Risk
uegf327277755,35,4.4,13.02978,80.208812,13.10978,80.288812,2022-03-18,20:25:00,20:35:00,Sandstorms,Jam ,scooter ,Other,32,Grocery,124.90564484784746,Medium Risk
oyzo818523902,31,4.0,21.149669,72.772629,21.179669,72.802629,2022-04-01,22:15:00,22:20:00,Stormy,Low ,motorcycle ,Metropolitian ,30,Grocery,124.90564484784746,Medium Risk
lqct344581768,26,4.4,18.592718,73.773572,18.622718,73.803572,2022-03-30,23:25:00,23:30:00,Windy,Low ,motorcycle ,Metropolitian ,80,Jewelry,124.90564484784746,Medium Risk
bnxs936910027,26,4.1,12.975377,77.696664,12.985377,77.706664,2022-03-07,09:10:00,09:20:00,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Shoes,124.90564484784746,Medium Risk
bbhz772774064,33,4.0,0.0,0.0,0.04,0.04,2022-03-30,14:15:00,14:25:00,Sandstorms,High ,motorcycle ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
mjkp174923833,29,4.3,11.016298,76.972076,11.076298,77.032076,2022-03-05,23:50:00,00:00:00,Sandstorms,Low ,motorcycle ,Urban ,85,Electronics,124.90564484784746,Medium Risk
fvjh184291238,20,4.1,21.149834,72.778666,21.189834,72.818666,2022-03-17,13:45:00,14:00:00,Stormy,High ,motorcycle ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
gsoc818610789,34,4.1,18.516216,73.842527,18.606216,73.932527,2022-03-14,18:00:00,18:10:00,Stormy,Medium ,motorcycle ,Urban ,34,Grocery,124.90564484784746,Medium Risk
qpja502522935,32,4.1,19.003517,72.82765,19.083517,72.90765,2022-03-18,23:30:00,23:35:00,Cloudy,Low ,motorcycle ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
fyae144754762,26,4.2,19.221315,72.862381,19.251315,72.892381,2022-03-03,23:50:00,23:55:00,Windy,Low ,motorcycle ,Urban ,20,Grocery,124.90564484784746,Medium Risk
zffl252818186,22,4.2,17.429585,78.392621,17.449585,78.412621,2022-03-26,09:55:00,10:10:00,Windy,Low ,motorcycle ,Metropolitian ,75,Snacks,124.90564484784746,Medium Risk
zvto073144073,26,4.1,22.744648,75.894377,22.794648,75.944377,2022-03-19,23:40:00,23:55:00,Windy,Low ,motorcycle ,Urban ,85,Clothing,124.90564484784746,Medium Risk
cobx423154877,34,4.4,17.411028,78.329645,17.501028,78.419645,2022-04-02,17:35:00,17:40:00,Stormy,Medium ,motorcycle ,Metropolitian ,42,Grocery,124.90564484784746,Medium Risk
soqt210842727,33,4.2,18.536562,73.896485,18.556562,73.916485,2022-04-05,09:45:00,09:55:00,Sandstorms,Low ,motorcycle ,Metropolitian ,23,Grocery,124.90564484784746,Medium Risk
bbgh144808301,39,4.2,11.000762,76.981876,11.090762,77.071876,2022-03-25,20:15:00,20:30:00,Sandstorms,Jam ,scooter ,Metropolitian ,38,Grocery,124.90564484784746,Medium Risk
qwmr191038967,39,4.4,26.956431,75.776649,26.966431,75.786649,2022-03-05,09:35:00,09:50:00,Windy,Low ,motorcycle ,Urban ,26,Grocery,124.90564484784746,Medium Risk
rkjo020765441,35,4.3,18.539299,73.897902,18.579299,73.937902,2022-04-05,14:55:00,15:00:00,Stormy,High ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
cpol665989034,26,3.4,13.022394,80.242439,13.102394,80.322439,2022-04-04,22:35:00,22:40:00,Sunny,Low ,scooter ,Urban ,41,Grocery,124.90564484784746,Medium Risk
wusu480858324,37,4.3,22.310526,73.170937,22.320526,73.180937,2022-03-07,11:35:00,11:40:00,Cloudy,High ,motorcycle ,Metropolitian ,32,Grocery,124.90564484784746,Medium Risk
abhq182922930,31,4.1,0.0,0.0,0.09,0.09,2022-02-16,17:30:00,17:45:00,Windy,Medium ,motorcycle ,Metropolitian ,41,Grocery,124.90564484784746,Medium Risk
exdn815186285,32,3.9,19.003517,72.82765,19.083517,72.90765,2022-03-31,19:40:00,19:55:00,Windy,Jam ,motorcycle ,Metropolitian ,38,Grocery,124.90564484784746,Medium Risk
lmez010960510,28,4.2,18.994049,72.825203,19.014049,72.845203,2022-03-28,10:10:00,10:20:00,Sandstorms,Low ,motorcycle ,Metropolitian ,75,Electronics,124.90564484784746,Medium Risk
uqck610610817,35,3.7,15.576683,73.75575,15.686683,73.86575,2022-02-16,00:00:00,00:10:00,Fog,Low ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
xubf879408178,38,4.4,22.745049,75.892471,22.805049,75.952471,2022-03-03,23:10:00,23:15:00,Windy,Low ,motorcycle ,Metropolitian ,28,Grocery,124.90564484784746,Medium Risk
smbm423236836,24,4.3,9.985697,76.281128,9.995697,76.291128,2022-02-17,08:40:00,08:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,75,Outdoors,124.90564484784746,Medium Risk
yrrm304968118,39,4.4,12.304569,76.643622,12.414569,76.753622,2022-03-16,20:35:00,20:50:00,Sunny,Jam ,motorcycle ,Metropolitian ,31,Grocery,124.90564484784746,Medium Risk
yfcs197942443,35,3.7,12.284747,76.625861,12.354747,76.695861,2022-03-08,19:15:00,19:20:00,Stormy,Jam ,scooter ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
dnai501018778,28,4.4,22.310329,73.169083,22.330329,73.189083,2022-03-19,09:40:00,09:50:00,Sandstorms,Low ,motorcycle ,Urban ,75,Skincare,124.90564484784746,Medium Risk
idpw764247149,25,4.3,11.003681,76.975525,11.033681,77.005525,2022-03-05,22:45:00,22:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,28,Grocery,124.90564484784746,Medium Risk
clrz788320004,35,4.4,15.556561,73.763633,15.686561,73.893633,2022-02-16,20:30:00,20:35:00,Cloudy,Jam ,scooter ,Metropolitian ,38,Grocery,124.90564484784746,Medium Risk
qwsx094298036,20,4.1,22.725748,75.898497,22.775748,75.948497,2022-03-07,23:00:00,23:10:00,Windy,Low ,motorcycle ,Metropolitian ,85,Kitchen,124.90564484784746,Medium Risk
mjra614047376,39,4.1,12.321214,76.621094,12.371214,76.671094,2022-03-11,18:15:00,18:25:00,Stormy,Medium ,motorcycle ,Metropolitian ,34,Grocery,124.90564484784746,Medium Risk
dyrm101245903,30,3.8,22.751234,75.88949,22.821234,75.95949,2022-03-14,21:35:00,21:45:00,Windy,Jam ,scooter ,Metropolitian ,31,Grocery,124.90564484784746,Medium Risk
fkyq692262283,22,4.2,10.96185,76.971082,10.98185,76.991082,2022-03-17,08:30:00,08:40:00,Stormy,Low ,motorcycle ,Metropolitian ,75,Kitchen,124.90564484784746,Medium Risk
ypso113701961,25,4.0,22.552996,88.35231,22.602996,88.40231,2022-02-15,23:55:00,00:00:00,Stormy,Low ,motorcycle ,Metropolitian ,23,Grocery,124.90564484784746,Medium Risk
zfah557831274,30,4.0,11.025083,77.015393,11.045083,77.035393,2022-03-13,09:20:00,09:30:00,Windy,Low ,motorcycle ,Metropolitian ,28,Grocery,124.90564484784746,Medium Risk
zbcs216339350,21,4.3,22.725835,75.887648,22.735835,75.897648,2022-03-24,08:30:00,08:40:00,Stormy,Low ,motorcycle ,Metropolitian ,85,Pet Supplies,124.90564484784746,Medium Risk
ulis809574436,38,4.1,15.556561,73.763633,15.566561,73.773633,2022-02-17,09:10:00,09:20:00,Stormy,Low ,motorcycle ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
impo096699448,30,4.3,12.913041,77.683237,13.003041,77.773237,2022-03-06,17:20:00,17:25:00,Cloudy,Medium ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
ttgc592604034,35,3.5,17.450851,78.379347,17.560851,78.489347,2022-03-29,17:50:00,18:00:00,Stormy,Medium ,scooter ,Urban ,37,Grocery,124.90564484784746,Medium Risk
uusc666596957,23,4.0,23.369746,85.33982,23.389746,85.35982,2022-04-05,10:35:00,10:45:00,Windy,Low ,motorcycle ,Metropolitian ,85,Books,124.90564484784746,Medium Risk
evgj038305492,28,4.2,22.732225,75.874765,22.742225,75.884765,2022-03-11,08:15:00,08:25:00,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Kitchen,124.90564484784746,Medium Risk
humt595745846,39,3.8,21.149834,72.778666,21.239834,72.868666,2022-03-31,21:10:00,21:20:00,Stormy,Jam ,van,Metropolitian ,32,Grocery,124.90564484784746,Medium Risk
aojy502636702,22,3.5,22.761593,75.886362,22.841593,75.966362,2022-03-18,22:50:00,23:00:00,Sunny,Low ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
huui695949359,36,4.3,0.0,0.0,0.11,0.11,2022-03-27,19:30:00,19:40:00,Cloudy,Jam ,motorcycle ,Metropolitian ,35,Grocery,124.90564484784746,Medium Risk
xjxn013557125,27,4.3,17.458998,78.500366,17.468998,78.510366,2022-03-17,08:25:00,08:40:00,Stormy,Low ,motorcycle ,Urban ,75,Home,124.90564484784746,Medium Risk
nkhy351534690,29,4.4,13.066762,80.251865,13.076762,80.261865,2022-03-01,08:25:00,08:30:00,Sandstorms,Low ,motorcycle ,Urban ,75,Home,124.90564484784746,Medium Risk
irlt349481815,27,4.1,0.0,0.0,0.07,0.07,2022-03-16,22:00:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,34,Grocery,124.90564484784746,Medium Risk
qoal881149457,22,4.2,11.02091,76.940432,11.08091,77.000432,2022-03-01,21:40:00,21:50:00,Stormy,Jam ,motorcycle ,Metropolitian ,31,Grocery,124.90564484784746,Medium Risk
hzqf032717172,23,4.0,15.157944,73.950889,15.187944,73.980889,2022-02-11,19:25:00,19:35:00,Cloudy,Jam ,scooter ,Metropolitian ,31,Grocery,124.90564484784746,Medium Risk
hyjj560752092,35,4.3,21.157735,72.768778,21.217735,72.828778,2022-03-15,21:55:00,22:10:00,Cloudy,Jam ,motorcycle ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
dolb410546503,31,4.2,23.374989,85.335486,23.464989,85.425486,2022-04-02,17:40:00,17:50:00,Windy,Medium ,scooter ,Metropolitian ,37,Grocery,124.90564484784746,Medium Risk
ysnm581080917,38,4.3,22.728163,75.884212,22.858163,76.014212,2022-03-02,22:35:00,22:40:00,Fog,Low ,scooter ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
jguq748952620,25,4.0,26.90519,75.810753,26.92519,75.830753,2022-03-09,10:10:00,10:20:00,Stormy,Low ,motorcycle ,Urban ,75,Clothing,124.90564484784746,Medium Risk
qzfb876735492,39,4.2,13.091809,80.219104,13.101809,80.229104,2022-03-26,11:15:00,11:20:00,Sandstorms,High ,scooter ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
hxnd770326699,28,4.3,12.914264,77.6784,12.934264,77.6984,2022-03-15,08:25:00,08:40:00,Windy,Low ,motorcycle ,Metropolitian ,23,Grocery,124.90564484784746,Medium Risk
grub684768543,25,4.4,12.297954,76.665169,12.307954,76.675169,2022-03-01,09:20:00,09:25:00,Windy,Low ,motorcycle ,Metropolitian ,80,Home,124.90564484784746,Medium Risk
kdoj635328532,37,4.0,22.722634,75.886959,22.752634,75.916959,2022-03-03,22:20:00,22:30:00,Stormy,Low ,motorcycle ,Metropolitian ,31,Grocery,124.90564484784746,Medium Risk
vfne967982955,24,4.1,11.021278,76.995017,11.041278,77.015017,2022-03-01,09:50:00,10:05:00,Stormy,Low ,motorcycle ,Metropolitian ,85,Books,124.90564484784746,Medium Risk
gghw566502663,34,4.0,22.553227,88.353273,22.633227,88.433273,2022-02-18,22:25:00,22:40:00,Cloudy,Low ,motorcycle ,Metropolitian ,42,Grocery,124.90564484784746,Medium Risk
gtgl343800725,20,4.4,21.175104,72.804342,21.285104,72.914342,2022-03-23,21:55:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,34,Grocery,124.90564484784746,Medium Risk
uthp309125815,36,4.2,22.32,73.17,22.37,73.22,2022-03-07,23:00:00,23:15:00,Sandstorms,Low ,motorcycle ,Urban ,34,Grocery,124.90564484784746,Medium Risk
mteo720732343,34,4.3,21.175975,72.795503,21.265975,72.885503,2022-03-23,21:20:00,21:35:00,Stormy,Jam ,motorcycle ,Metropolitian ,39,Grocery,124.90564484784746,Medium Risk
xzby295152168,29,4.4,19.091458,72.827808,19.101458,72.837808,2022-03-30,08:35:00,08:40:00,Sandstorms,Low ,motorcycle ,Metropolitian ,80,Snacks,124.90564484784746,Medium Risk
opkg543126416,31,4.4,11.021278,76.995017,11.051278,77.025017,2022-03-11,20:35:00,20:40:00,Cloudy,Jam ,motorcycle ,Metropolitian ,38,Grocery,124.90564484784746,Medium Risk
asuj408617671,20,4.1,22.310329,73.169083,22.380329,73.239083,2022-03-25,18:30:00,18:35:00,Cloudy,Medium ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
xcyw740126289,24,4.1,22.308096,73.167753,22.338096,73.197753,2022-03-26,23:30:00,23:45:00,Sandstorms,Low ,motorcycle ,Urban ,75,Toys,124.90564484784746,Medium Risk
ryma268770427,21,4.0,12.311072,76.654878,12.321072,76.664878,2022-04-05,09:15:00,09:25:00,Windy,Low ,motorcycle ,Metropolitian ,80,Snacks,124.90564484784746,Medium Risk
agod908214672,34,4.2,23.416792,85.316842,23.526792,85.426842,2022-03-25,21:10:00,21:25:00,Stormy,Jam ,motorcycle ,Metropolitian ,41,Grocery,124.90564484784746,Medium Risk
rajn107337008,32,4.2,18.546258,73.904337,18.676258,74.034337,2022-03-18,18:25:00,18:30:00,Windy,Medium ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
prrz953316080,37,4.4,0.0,0.0,0.07,0.07,2022-02-18,18:25:00,18:35:00,Windy,Medium ,motorcycle ,Metropolitian ,48,Grocery,124.90564484784746,Medium Risk
ezbh648863877,38,4.3,0.0,0.0,0.06,0.06,2022-03-15,19:35:00,19:40:00,Windy,Jam ,scooter ,Metropolitian ,33,Grocery,124.90564484784746,Medium Risk
dxxu171623513,37,3.6,21.170096,72.789122,21.240096,72.859122,2022-03-06,20:45:00,20:55:00,Sunny,Jam ,motorcycle ,Metropolitian ,32,Grocery,124.90564484784746,Medium Risk
wyli900821104,23,4.3,19.065838,72.832658,19.195838,72.962658,2022-03-29,20:20:00,20:35:00,Fog,Jam ,scooter ,Metropolitian ,43,Grocery,124.90564484784746,Medium Risk
oagg938559565,28,4.1,0.0,0.0,0.05,0.05,2022-03-09,23:40:00,23:50:00,Stormy,Low ,motorcycle ,Urban ,80,Electronics,124.90564484784746,Medium Risk
wkzx665900111,33,4.0,19.876994,75.372353,19.896994,75.392353,2022-02-17,09:35:00,09:40:00,Windy,Low ,motorcycle ,Metropolitian ,28,Grocery,124.90564484784746,Medium Risk
xjlf467712557,38,4.2,11.022477,76.995667,11.032477,77.005667,2022-03-19,10:35:00,10:40:00,Sandstorms,Low ,motorcycle ,Metropolitian ,27,Grocery,124.90564484784746,Medium Risk
gdnh860096352,38,4.2,12.323225,76.630028,12.363225,76.670028,2022-03-15,14:45:00,14:55:00,Fog,High ,motorcycle ,Metropolitian ,34,Grocery,124.90564484784746,Medium Risk
jusb629926522,31,4.4,18.593481,73.785901,18.663481,73.855901,2022-03-12,21:50:00,21:55:00,Windy,Jam ,scooter ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
bxbc764622114,29,4.2,21.186438,72.794115,21.196438,72.804115,2022-03-05,08:35:00,08:45:00,Sandstorms,Low ,motorcycle ,Metropolitian ,75,Clothing,124.90564484784746,Medium Risk
cuws624420685,31,4.3,17.426228,78.407495,17.496228,78.477495,2022-04-02,20:50:00,21:00:00,Fog,Jam ,scooter ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
npay218878634,21,4.4,18.546258,73.904337,18.616258,73.974337,2022-03-27,18:55:00,19:10:00,Fog,Medium ,motorcycle ,Urban ,35,Grocery,124.90564484784746,Medium Risk
aanq792564931,34,4.4,18.543626,73.905101,18.553626,73.915101,2022-04-03,11:20:00,11:25:00,Cloudy,High ,motorcycle ,Metropolitian ,35,Grocery,124.90564484784746,Medium Risk
bmbx969122269,39,4.0,12.337978,76.616792,12.377978,76.656792,2022-03-15,12:45:00,12:50:00,Sandstorms,High ,motorcycle ,Metropolitian ,36,Grocery,124.90564484784746,Medium Risk
esbq589393902,37,4.2,17.426228,78.407495,17.446228,78.427495,2022-03-26,11:10:00,11:15:00,Sandstorms,High ,scooter ,Metropolitian ,32,Grocery,124.90564484784746,Medium Risk
wgmy079922545,24,4.3,26.905287,75.794592,27.015287,75.904592,2022-03-08,20:50:00,20:55:00,Fog,Jam ,motorcycle ,Metropolitian ,43,Grocery,124.90564484784746,Medium Risk
cvjc765889292,39,4.2,12.914264,77.6784,12.974264,77.7384,2022-03-09,17:30:00,17:35:00,Windy,Medium ,scooter ,Urban ,34,Grocery,124.90564484784746,Medium Risk
fhbs854823074,20,3.8,13.02978,80.208812,13.03978,80.218812,2022-03-01,11:55:00,12:10:00,Sunny,High ,motorcycle ,Metropolitian ,47,Grocery,124.90564484784746,Medium Risk
qpqz375035016,29,4.2,17.41233,78.449654,17.42233,78.459654,2022-03-30,10:30:00,10:35:00,Sandstorms,Low ,motorcycle ,Urban ,26,Grocery,124.90564484784746,Medium Risk
nzlk116689361,33,4.4,22.761226,75.887522,22.811226,75.937522,2022-03-28,00:00:00,00:10:00,Sandstorms,Low ,motorcycle ,Metropolitian ,21,Grocery,124.90564484784746,Medium Risk
uqen731118662,25,4.1,19.1093,72.825451,19.1293,72.845451,2022-03-19,08:15:00,08:25:00,Windy,Low ,motorcycle ,Metropolitian ,85,Toys,124.90564484784746,Medium Risk
iago176521930,32,4.1,23.39925,85.390464,23.48925,85.480464,2022-03-02,20:20:00,20:25:00,Cloudy,Jam ,motorcycle ,Metropolitian ,49,Grocery,124.90564484784746,Medium Risk
eeur086873724,38,4.1,18.539299,73.897902,18.669299,74.027902,2022-03-14,19:40:00,19:50:00,Fog,Jam ,motorcycle ,Urban ,37,Grocery,124.90564484784746,Medium Risk
obhw439774427,33,4.4,18.994049,72.825203,19.124049,72.955203,2022-03-18,23:20:00,23:30:00,Cloudy,Low ,motorcycle ,Metropolitian ,37,Grocery,124.90564484784746,Medium Risk
nmgv421810054,24,4.1,26.481547,80.299775,26.531547,80.349775,2022-02-11,23:20:00,23:25:00,Sandstorms,Low ,motorcycle ,Other,75,Snacks,124.90564484784746,Medium Risk
jihi392363780,35,4.1,18.569156,73.774723,18.589156,73.794723,2022-03-13,11:10:00,11:25:00,Sandstorms,High ,scooter ,Urban ,31,Grocery,124.90564484784746,Medium Risk
